"","x"
"factor(jd)38",-44230.1551319441
"factor(jd)39",-81891.0795378133
"factor(jd)40",-67458.1936712377
"factor(jd)41",-80263.5985552675
"factor(jd)42",-18015.6111285848
"factor(jd)43",-57399.8524619782
"factor(jd)44",-64048.6239247659
"factor(jd)45",-48487.4963966097
"factor(jd)46",-82888.7718924417
"factor(jd)47",-47633.6453439129
"factor(jd)48",54824.5929441349
"factor(jd)49",104107.673334706
"factor(jd)50",-53882.4921491983
"factor(jd)51",-93501.9129052894
"factor(jd)52",20039.2483681669
"factor(jd)53",-57140.0754459379
"factor(jd)54",47296.7753024896
"factor(jd)55",3690.70557104221
"factor(jd)56",-6007.64581712052
"factor(jd)57",-34722.6214119055
"factor(jd)58",9449.11370476225
"factor(jd)59",-50595.0271389231
"factor(jd)60",-16580.4126726568
"factor(jd)61",-21987.1857554992
"factor(jd)62",-14617.7030637895
"factor(jd)63",-29915.7600437022
"factor(jd)64",-53067.0946525503
"factor(jd)65",-28565.1166613129
"factor(jd)66",-46097.7299288867
"factor(jd)67",-66157.1280673781
"factor(jd)68",-39737.7828508241
"factor(jd)69",-49607.2585408412
"factor(jd)70",-82229.6098884438
"factor(jd)71",-28048.1133636092
"factor(jd)72",-50656.301584197
"factor(jd)73",-63559.4073273784
"factor(jd)74",-55193.2448448308
"factor(jd)75",-43318.239435357
"factor(jd)76",-38404.396820184
"factor(jd)77",-61559.8605985626
"factor(jd)78",-38595.6652823916
"factor(jd)79",-94988.5609586146
"factor(jd)80",-65806.5716006792
"factor(jd)81",-76857.8111371495
"factor(jd)82",-56246.2697735795
"factor(jd)83",-51266.1851330905
"factor(jd)84",-60428.0257447598
"factor(jd)85",-10984.0246366167
"factor(jd)86",105953.083860568
"factor(jd)87",-51701.8663291334
"factor(jd)88",-38465.669930539
"factor(jd)89",-12669.7216453604
"factor(jd)90",-27171.4643384764
"factor(jd)91",-47469.453533812
"factor(jd)92",-24275.6474294245
"factor(jd)93",-57383.7151276383
"factor(jd)94",-53104.4308676067
"factor(jd)95",-52081.5424815494
"factor(jd)96",5523.98061361911
"factor(jd)97",-50464.427047693
"factor(jd)98",-19898.7506963384
"factor(jd)99",-1217.73420315913
"factor(jd)100",-63770.1200852543
"factor(jd)101",-59290.0171274844
"factor(jd)102",-18752.441284406
"factor(jd)103",-98602.1812373953
"factor(jd)104",-55744.8335653779
"factor(jd)105",-42530.6924948381
"factor(jd)106",-76315.9560392017
"factor(jd)107",-14653.7763115475
"factor(jd)108",40322.7823770087
"factor(jd)109",22604.6410084285
"factor(jd)110",14074.9482282331
"factor(jd)111",48565.7434697514
"factor(jd)112",-80489.8756191367
"factor(jd)113",16779.3277099047
"factor(jd)114",-79599.6600965711
"factor(jd)115",-65846.2234993502
"factor(jd)116",8245.38415078314
"factor(jd)117",1668.46154791877
"factor(jd)118",40522.049535603
"factor(jd)119",20505.9034793413
